enum_type,value
effort_code,++
effort_code,+
effort_code,-
effort_code,--
effort_mode,reps
effort_mode,time
effort_mode,distance
effort_mode,calories
exercise_skill_level,low
exercise_skill_level,medium
exercise_skill_level,high
load_medium,bar
load_medium,plates
load_medium,stack
load_medium,bodyweight
load_medium,other
load_medium,band
load_medium,chain
load_medium,flywheel
load_mode,none
load_mode,bodyweight_plus_optional
load_mode,external_added
load_mode,external_assist
load_mode,machine_level
load_mode,band_level
load_type,none
load_type,single_load
load_type,dual_load
load_type,stack
weight_unit,kg
weight_unit,lb
